icd_altitude,header,seq_num,timestamp_arrival,sec,nsec,timestamp_valid,sec,nsec,device_id,altitude,variance
0,,0,,1539368556,699949026,,0,0,,1.32999992371,0.0
0,,0,,1539368557,6031990,,0,0,,1.07999992371,0.0
0,,0,,1539368557,261168003,,0,0,,1.36000001431,0.0
0,,0,,1539368557,568039894,,0,0,,1.29999995232,0.0
0,,0,,1539368557,773421049,,0,0,,1.52999997139,0.0
0,,0,,1539368558,79405069,,0,0,,1.41999995708,0.0
0,,0,,1539368558,334830999,,0,0,,1.48000001907,0.0
0,,0,,1539368558,641814947,,0,0,,1.68999993801,0.0
0,,0,,1539368558,948467969,,0,0,,1.39999997616,0.0
0,,0,,1539368559,204680919,,0,0,,1.68999993801,0.0
0,,0,,1539368559,562803030,,0,0,,0.849999964237,0.0
0,,0,,1539368559,818705081,,0,0,,0.930000007153,0.0
0,,0,,1539368560,125089883,,0,0,,1.48000001907,0.0
0,,0,,1539368560,380300045,,0,0,,1.20999991894,0.0
0,,0,,1539368560,687038898,,0,0,,1.27999997139,0.0
0,,0,,1539368560,943061113,,0,0,,1.27999997139,0.0
0,,0,,1539368561,199444055,,0,0,,1.12999999523,0.0
0,,0,,1539368561,455594062,,0,0,,1.33999991417,0.0
0,,0,,1539368561,762567996,,0,0,,1.67999994755,0.0
0,,0,,1539368562,69385051,,0,0,,1.23000001907,0.0
0,,0,,1539368562,325299024,,0,0,,1.09000003338,0.0
0,,0,,1539368562,581451892,,0,0,,1.16999995708,0.0
0,,0,,1539368562,888024091,,0,0,,2.06999993324,0.0
0,,0,,1539368563,194725036,,0,0,,1.35000002384,0.0
0,,0,,1539368563,501656055,,0,0,,1.16999995708,0.0
0,,0,,1539368563,706281900,,0,0,,1.12999999523,0.0
0,,0,,1539368564,12295961,,0,0,,1.27999997139,0.0
0,,0,,1539368564,318646907,,0,0,,1.25,0.0
0,,0,,1539368564,523040056,,0,0,,0.829999983311,0.0
0,,0,,1539368564,880578041,,0,0,,1.61000001431,0.0
0,,0,,1539368565,187172889,,0,0,,1.52999997139,0.0
0,,0,,1539368565,493649959,,0,0,,1.57999992371,0.0
0,,0,,1539368565,749691009,,0,0,,1.22000002861,0.0
0,,0,,1539368566,5789995,,0,0,,1.27999997139,0.0
0,,0,,1539368566,312419891,,0,0,,1.37999999523,0.0
0,,0,,1539368566,619837045,,0,0,,1.45999991894,0.0
0,,0,,1539368566,875443935,,0,0,,1.32999992371,0.0
0,,0,,1539368567,181636095,,0,0,,1.31999993324,0.0
0,,0,,1539368567,489460945,,0,0,,1.49000000954,0.0
0,,0,,1539368567,795617103,,0,0,,1.38999998569,0.0
0,,0,,1539368568,51368951,,0,0,,1.59999990463,0.0
0,,0,,1539368568,358366966,,0,0,,1.58999991417,0.0
0,,0,,1539368568,613883018,,0,0,,1.56999993324,0.0
0,,0,,1539368568,920799970,,0,0,,1.42999994755,0.0
0,,0,,1539368569,176507949,,0,0,,1.84999990463,0.0
0,,0,,1539368569,483089923,,0,0,,1.19999992847,0.0
0,,0,,1539368569,687751054,,0,0,,1.66999995708,0.0
0,,0,,1539368569,993849992,,0,0,,1.27999997139,0.0
0,,0,,1539368570,249337911,,0,0,,1.57999992371,0.0
0,,0,,1539368570,505944013,,0,0,,1.70999991894,0.0
0,,0,,1539368570,812174081,,0,0,,1.58999991417,0.0
0,,0,,1539368571,68160057,,0,0,,1.29999995232,0.0
0,,0,,1539368571,374690055,,0,0,,1.48000001907,0.0
0,,0,,1539368571,681303024,,0,0,,1.11000001431,0.0
0,,0,,1539368571,936429023,,0,0,,1.27999997139,0.0
0,,0,,1539368572,294398069,,0,0,,1.11000001431,0.0
0,,0,,1539368572,499679088,,0,0,,1.33999991417,0.0
0,,0,,1539368572,805763006,,0,0,,1.12000000477,0.0
0,,0,,1539368573,9661912,,0,0,,1.04999995232,0.0
0,,0,,1539368573,316184043,,0,0,,1.30999994278,0.0
0,,0,,1539368573,675210952,,0,0,,0.959999978542,0.0
0,,0,,1539368573,880150079,,0,0,,1.12999999523,0.0
0,,0,,1539368574,186247110,,0,0,,1.4699999094,0.0
0,,0,,1539368574,441441059,,0,0,,1.02999997139,0.0
0,,0,,1539368574,647156953,,0,0,,0.879999995232,0.0
