icd_speed,header,seq_num,timestamp_arrival,sec,nsec,timestamp_valid,sec,nsec,device_id,speed,variance
0,,0,,1539368556,674871921,,0,0,,0.170400694013,0.0
0,,0,,1539368556,983036994,,0,0,,0.241584852338,0.0
0,,0,,1539368557,238456010,,0,0,,0.243257656693,0.0
0,,0,,1539368557,595016002,,0,0,,0.214713096619,0.0
0,,0,,1539368557,851193904,,0,0,,0.222817569971,0.0
0,,0,,1539368558,208875894,,0,0,,0.202214315534,0.0
0,,0,,1539368558,464513063,,0,0,,0.0913541018963,0.0
0,,0,,1539368558,820883035,,0,0,,0.10802744329,0.0
0,,0,,1539368559,229238033,,0,0,,0.0953649356961,0.0
0,,0,,1539368559,485347986,,0,0,,0.0978454723954,0.0
0,,0,,1539368559,842153072,,0,0,,0.154463842511,0.0
0,,0,,1539368560,97810983,,0,0,,0.0837990269065,0.0
0,,0,,1539368560,454817056,,0,0,,0.0978705659509,0.0
0,,0,,1539368560,761327028,,0,0,,0.121774852276,0.0
0,,0,,1539368561,68330049,,0,0,,0.204620212317,0.0
0,,0,,1539368561,323932886,,0,0,,0.0503627844155,0.0
0,,0,,1539368561,630268096,,0,0,,0.0564715489745,0.0
0,,0,,1539368561,987159967,,0,0,,0.124324515462,0.0
0,,0,,1539368562,294501066,,0,0,,0.135819494724,0.0
0,,0,,1539368562,600588083,,0,0,,0.114779949188,0.0
0,,0,,1539368562,907284021,,0,0,,0.0545544587076,0.0
0,,0,,1539368563,264422893,,0,0,,0.0913996845484,0.0
0,,0,,1539368563,521044969,,0,0,,0.11319770664,0.0
0,,0,,1539368563,826658964,,0,0,,0.0858290717006,0.0
0,,0,,1539368564,82263946,,0,0,,0.170733645558,0.0
0,,0,,1539368564,439801931,,0,0,,0.103694118559,0.0
0,,0,,1539368564,746052026,,0,0,,0.204490706325,0.0
0,,0,,1539368565,52701950,,0,0,,0.0713820531964,0.0
0,,0,,1539368565,308501958,,0,0,,0.103766284883,0.0
0,,0,,1539368565,564424991,,0,0,,0.0910400301218,0.0
0,,0,,1539368565,871529102,,0,0,,0.0357208512723,0.0
0,,0,,1539368566,177819967,,0,0,,0.0708524957299,0.0
0,,0,,1539368566,485048055,,0,0,,0.0436161495745,0.0
0,,0,,1539368566,842333078,,0,0,,0.135646924376,0.0
0,,0,,1539368567,98515987,,0,0,,0.0608947761357,0.0
0,,0,,1539368567,405009031,,0,0,,0.0474348925054,0.0
0,,0,,1539368567,762181997,,0,0,,0.0459340140224,0.0
0,,0,,1539368568,18064022,,0,0,,0.0939206779003,0.0
0,,0,,1539368568,374855041,,0,0,,0.125041157007,0.0
0,,0,,1539368568,630248069,,0,0,,0.118502892554,0.0
0,,0,,1539368568,885471105,,0,0,,0.179064899683,0.0
0,,0,,1539368569,191562891,,0,0,,0.0443045645952,0.0
0,,0,,1539368569,498171091,,0,0,,0.0535405762494,0.0
0,,0,,1539368569,804554939,,0,0,,0.203483253717,0.0
0,,0,,1539368570,59922933,,0,0,,0.0930314958096,0.0
0,,0,,1539368570,316538095,,0,0,,0.11330408603,0.0
0,,0,,1539368570,673434019,,0,0,,0.0354263819754,0.0
0,,0,,1539368570,979756116,,0,0,,0.0786987692118,0.0
0,,0,,1539368571,337482929,,0,0,,0.0682719424367,0.0
0,,0,,1539368571,644128084,,0,0,,0.0432696118951,0.0
0,,0,,1539368572,973939,,0,0,,0.037888109684,0.0
0,,0,,1539368572,307899951,,0,0,,0.155888855457,0.0
0,,0,,1539368572,563301086,,0,0,,0.130678370595,0.0
0,,0,,1539368572,869182109,,0,0,,0.090319223702,0.0
0,,0,,1539368573,278017044,,0,0,,0.056944295764,0.0
0,,0,,1539368573,635643005,,0,0,,0.140464380383,0.0
0,,0,,1539368573,890975952,,0,0,,0.272160619497,0.0
0,,0,,1539368574,248776912,,0,0,,0.235786214471,0.0
0,,0,,1539368574,657417058,,0,0,,0.128911077976,0.0
0,,0,,1539368574,913726091,,0,0,,0.0688495337963,0.0
0,,0,,1539368575,220274925,,0,0,,0.0588634572923,0.0
0,,0,,1539368575,526887893,,0,0,,0.242110028863,0.0
0,,0,,1539368575,833324909,,0,0,,0.135532677174,0.0
0,,0,,1539368576,138870954,,0,0,,0.0888305827975,0.0
0,,0,,1539368576,496206045,,0,0,,0.363258272409,0.0
0,,0,,1539368576,853003025,,0,0,,0.498290061951,0.0
0,,0,,1539368577,159790992,,0,0,,0.644860804081,0.0
0,,0,,1539368577,517560958,,0,0,,0.742116034031,0.0
0,,0,,1539368577,772783041,,0,0,,0.699156105518,0.0
0,,0,,1539368578,79101085,,0,0,,0.793198347092,0.0
0,,0,,1539368578,386111021,,0,0,,0.805326521397,0.0
0,,0,,1539368578,692785978,,0,0,,0.922024190426,0.0
0,,0,,1539368578,999178886,,0,0,,0.941642463207,0.0
0,,0,,1539368579,305995941,,0,0,,0.929983854294,0.0
0,,0,,1539368579,561494112,,0,0,,1.00240540504,0.0
0,,0,,1539368579,867441892,,0,0,,1.00830662251,0.0
0,,0,,1539368580,173532009,,0,0,,1.05266356468,0.0
0,,0,,1539368580,531621932,,0,0,,1.10038375854,0.0
0,,0,,1539368580,837019920,,0,0,,1.1101641655,0.0
0,,0,,1539368581,92147111,,0,0,,1.16521215439,0.0
0,,0,,1539368581,347909927,,0,0,,1.18119132519,0.0
0,,0,,1539368581,706048011,,0,0,,1.17858934402,0.0
0,,0,,1539368582,12085914,,0,0,,1.32090318203,0.0
0,,0,,1539368582,318408966,,0,0,,1.2881449461,0.0
0,,0,,1539368582,675622940,,0,0,,1.2450851202,0.0
0,,0,,1539368582,931137084,,0,0,,1.1051774025,0.0
0,,0,,1539368583,288491964,,0,0,,1.01703667641,0.0
0,,0,,1539368583,646246910,,0,0,,0.963132441044,0.0
0,,0,,1539368583,951987981,,0,0,,0.92505812645,0.0
0,,0,,1539368584,258186101,,0,0,,0.839312553406,0.0
