icd_speed,header,seq_num,timestamp_arrival,sec,nsec,timestamp_valid,sec,nsec,device_id,speed,variance
0,,0,,1539368556,674871921,,0,0,,2.02275037766,0.0
0,,0,,1539368556,983036994,,0,0,,1.6263781786,0.0
0,,0,,1539368557,238456010,,0,0,,2.17245435715,0.0
0,,0,,1539368557,595016002,,0,0,,1.20886838436,0.0
0,,0,,1539368557,851193904,,0,0,,2.33519721031,0.0
0,,0,,1539368558,208875894,,0,0,,1.70858669281,0.0
0,,0,,1539368558,464513063,,0,0,,1.06536769867,0.0
0,,0,,1539368558,820883035,,0,0,,1.56452333927,0.0
0,,0,,1539368559,229238033,,0,0,,1.91498553753,0.0
0,,0,,1539368559,485347986,,0,0,,1.77391278744,0.0
0,,0,,1539368559,842153072,,0,0,,1.96428143978,0.0
0,,0,,1539368560,97810983,,0,0,,2.95826101303,0.0
0,,0,,1539368560,454817056,,0,0,,2.88549661636,0.0
0,,0,,1539368560,761327028,,0,0,,2.29706287384,0.0
0,,0,,1539368561,68330049,,0,0,,1.69358718395,0.0
0,,0,,1539368561,323932886,,0,0,,0.799418985844,0.0
0,,0,,1539368561,630268096,,0,0,,1.52920126915,0.0
0,,0,,1539368561,987159967,,0,0,,1.52225446701,0.0
0,,0,,1539368562,294501066,,0,0,,1.98559677601,0.0
0,,0,,1539368562,600588083,,0,0,,2.7668697834,0.0
0,,0,,1539368562,907284021,,0,0,,2.08016777039,0.0
0,,0,,1539368563,264422893,,0,0,,1.3828574419,0.0
0,,0,,1539368563,521044969,,0,0,,1.96407818794,0.0
0,,0,,1539368563,826658964,,0,0,,1.66619634628,0.0
0,,0,,1539368564,82263946,,0,0,,1.17837452888,0.0
0,,0,,1539368564,439801931,,0,0,,2.16693305969,0.0
0,,0,,1539368564,746052026,,0,0,,2.36786913872,0.0
0,,0,,1539368565,52701950,,0,0,,2.92295050621,0.0
0,,0,,1539368565,308501958,,0,0,,2.73330760002,0.0
0,,0,,1539368565,564424991,,0,0,,2.88951849937,0.0
0,,0,,1539368565,871529102,,0,0,,2.8995153904,0.0
0,,0,,1539368566,177819967,,0,0,,2.81659173965,0.0
0,,0,,1539368566,485048055,,0,0,,2.26323461533,0.0
0,,0,,1539368566,842333078,,0,0,,2.54848766327,0.0
0,,0,,1539368567,98515987,,0,0,,2.48484063148,0.0
0,,0,,1539368567,405009031,,0,0,,2.71887207031,0.0
0,,0,,1539368567,762181997,,0,0,,2.09963989258,0.0
0,,0,,1539368568,18064022,,0,0,,1.73399627209,0.0
0,,0,,1539368568,374855041,,0,0,,2.22921180725,0.0
0,,0,,1539368568,630248069,,0,0,,2.00362443924,0.0
0,,0,,1539368568,885471105,,0,0,,0.376343905926,0.0
0,,0,,1539368569,191562891,,0,0,,2.32669997215,0.0
0,,0,,1539368569,498171091,,0,0,,2.27315425873,0.0
0,,0,,1539368569,804554939,,0,0,,1.80539977551,0.0
0,,0,,1539368570,59922933,,0,0,,1.72499489784,0.0
0,,0,,1539368570,316538095,,0,0,,2.39611625671,0.0
0,,0,,1539368570,673434019,,0,0,,1.93198955059,0.0
0,,0,,1539368570,979756116,,0,0,,2.4729039669,0.0
0,,0,,1539368571,337482929,,0,0,,2.52127408981,0.0
0,,0,,1539368571,644128084,,0,0,,1.99089562893,0.0
0,,0,,1539368572,973939,,0,0,,1.08641028404,0.0
0,,0,,1539368572,307899951,,0,0,,1.88150632381,0.0
0,,0,,1539368572,563301086,,0,0,,1.30303442478,0.0
0,,0,,1539368572,869182109,,0,0,,0.911966919899,0.0
0,,0,,1539368573,278017044,,0,0,,2.2857875824,0.0
0,,0,,1539368573,635643005,,0,0,,2.12041497231,0.0
0,,0,,1539368573,890975952,,0,0,,1.80035984516,0.0
0,,0,,1539368574,248776912,,0,0,,3.16386556625,0.0
0,,0,,1539368574,657417058,,0,0,,2.60950493813,0.0
0,,0,,1539368574,913726091,,0,0,,2.03735852242,0.0
0,,0,,1539368575,220274925,,0,0,,3.44773030281,0.0
0,,0,,1539368575,526887893,,0,0,,2.69584441185,0.0
0,,0,,1539368575,833324909,,0,0,,2.84414029121,0.0
0,,0,,1539368576,138870954,,0,0,,2.72350859642,0.0
0,,0,,1539368576,496206045,,0,0,,2.9308052063,0.0
0,,0,,1539368576,853003025,,0,0,,1.57819581032,0.0
0,,0,,1539368577,159790992,,0,0,,2.90950870514,0.0
0,,0,,1539368577,517560958,,0,0,,3.03601431847,0.0
0,,0,,1539368577,772783041,,0,0,,3.22836494446,0.0
0,,0,,1539368578,79101085,,0,0,,3.22079563141,0.0
0,,0,,1539368578,386111021,,0,0,,3.41594338417,0.0
0,,0,,1539368578,692785978,,0,0,,3.31176137924,0.0
0,,0,,1539368578,999178886,,0,0,,2.84281468391,0.0
0,,0,,1539368579,305995941,,0,0,,2.44204831123,0.0
0,,0,,1539368579,561494112,,0,0,,1.86396634579,0.0
0,,0,,1539368579,867441892,,0,0,,2.92894887924,0.0
0,,0,,1539368580,173532009,,0,0,,3.06253099442,0.0
0,,0,,1539368580,531621932,,0,0,,3.26512885094,0.0
0,,0,,1539368580,837019920,,0,0,,3.16414570808,0.0
0,,0,,1539368581,92147111,,0,0,,3.26458215714,0.0
0,,0,,1539368581,347909927,,0,0,,3.86345243454,0.0
0,,0,,1539368581,706048011,,0,0,,4.48183727264,0.0
0,,0,,1539368582,12085914,,0,0,,3.77916622162,0.0
0,,0,,1539368582,318408966,,0,0,,3.67555713654,0.0
0,,0,,1539368582,675622940,,0,0,,3.52131152153,0.0
0,,0,,1539368582,931137084,,0,0,,3.82534909248,0.0
0,,0,,1539368583,288491964,,0,0,,3.47773313522,0.0
0,,0,,1539368583,646246910,,0,0,,3.60518741608,0.0
0,,0,,1539368583,951987981,,0,0,,3.61369180679,0.0
0,,0,,1539368584,258186101,,0,0,,3.95190548897,0.0
0,,0,,1539368584,616384029,,0,0,,3.186460495,0.0
0,,0,,1539368584,922832965,,0,0,,2.69237804413,0.0
0,,0,,1539368585,230109930,,0,0,,3.81438040733,0.0
0,,0,,1539368585,587903022,,0,0,,2.42188215256,0.0
0,,0,,1539368585,843234062,,0,0,,3.68740487099,0.0
0,,0,,1539368586,148753881,,0,0,,2.24794769287,0.0
0,,0,,1539368586,556376934,,0,0,,2.88787341118,0.0
0,,0,,1539368586,862865924,,0,0,,3.85763573647,0.0
0,,0,,1539368587,119237899,,0,0,,3.05395507812,0.0
0,,0,,1539368587,477251052,,0,0,,3.58534264565,0.0
0,,0,,1539368587,834886074,,0,0,,3.70329260826,0.0
0,,0,,1539368588,141560077,,0,0,,1.92403352261,0.0
0,,0,,1539368588,499234914,,0,0,,2.88990116119,0.0
0,,0,,1539368588,754920959,,0,0,,2.76103711128,0.0
0,,0,,1539368589,10282993,,0,0,,3.03526067734,0.0
0,,0,,1539368589,366725921,,0,0,,3.14738965034,0.0
